route,cohort,reason
/fidder-slapen-zeist/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/friends-and-family/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/hotels/auping-revive-circulair/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/hotels/auping-revive/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/hotels/design-hotels/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/hotels/hotel-partnerships/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/inspiration/burgundy/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/inspiration/choosing-bedroom-colours/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/inspiration/mustard/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/inspiration/pastille-green/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattress-toppers/mattress-toppers-120x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattress-toppers/mattress-toppers-140x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattress-toppers/mattress-toppers-160x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattress-toppers/mattress-toppers-180x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattress-toppers/mattress-toppers-180x210/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattress-toppers/split-mattress-toppers/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/double-mattresses/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/doubter-mattresses/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-120x190/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-120x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-140x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-160x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-180x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-80x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-80x210/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-90x190/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-90x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-90x210/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/mattresses-90x220/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/pocket-spring-mattresses/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/mattresses/single-mattresses/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/myauping/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/auping-debuts-dutch-design-week/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/auping-evolve-has-been-awarded-prestigious-red-dot-product-design-award-2020/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/auping-evolve-wins-german-sustainability-award/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/auping-finalist-sustainable-brand-index-jury-price-2021/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/auping-investigates-sleep-among-team-sunweb-cyclists/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/auping-publishes-csr-report-2022/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/auping-releases-csr-report-2020/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/auping-wins-circular-award-business-2019/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/auping-wins-dutch-logistics-award-2016/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/circularity-day-2021-royal-auping/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/dutch-king-and-queen-visit-auping-factory/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/jan-joost-bosman-new-ceo-royal-auping/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/sleeping-like-animals/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/news/team-auping-dreams-world-without-als/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/node/6047/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/node/6142/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/node/6144/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/promoties/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/promotions/hotelvoucher/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/rest-and-home/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/search/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/shoppingcart/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/smart-products/somnox-sleep-robot/somnox/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/ahlborn-wohndesign/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/airfect-sleep-comfort-gmbh/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/arnim-schneider-gmbh/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-koln/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-almere/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-amersfoort/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-amsterdam-arena/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-amsterdam-buitenveldert/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-apeldoorn/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-barcelona/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-barendrecht/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-belsele/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-berlin/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-bratislava/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-breda/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-casablanca/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-delft/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-den-bosch/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-den-haag/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-deventer/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-doetinchem/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-duiven/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-ede/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-eindhoven-ekkersrijt/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-eindhoven/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-enschede/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-gouda/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-groningen/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-heerhugowaard/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-heerlen/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-herentals/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-leiderdorp/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-leidschendam/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-maastricht/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-naaldwijk/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-nijmegen/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-osterbro/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-poortvliet/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-rotterdam-alexandrium/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-rotterdam-centrum/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-sliedrecht/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-sneek/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-spijkenisse/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-utrecht/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-venlo/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-wavre/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-woluwe/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-wommelgem/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-zoetermeer/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-store-zwolle/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-studio-beds-bedding-nijhof-baarn/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-studio-bucharest/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-studio-eijerkamp-zutphen/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-studio-frans-mets-rotterdam-hillegersberg/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-studio-goodnight-cruquius/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping-studio-hbeds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/auping/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/bastiaansen-wonen/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/batik-amn-comercio-de-produtos-de-decoracao-unip/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/batjes-wonen/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/bed-haus/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/bed-specialists-sl-altea/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/bed-specialists-sl-torrevieja/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/beddenlux/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/beddenspeciaalzaak-de-bedstee/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/beddenspeciaalzaak-wortelboer/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/beddenspecialist-houben/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/bedderie-de-boer/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/beds-en-bedding-zaandam-bv/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/bedshop-de-duif-zutphen-bv/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/bedvisie-amsterdam/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/stores/berden-pot-interieur-bv/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
